ELEITO,SQ_CANDIDATO,CD_CARGO,NR_IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,CD_REELEICAO,VR_BEM_CANDIDATO,QT_VOTOS_NOMINAIS
0,200001604189,7,430,2,6,3,1,169,0,2669598,1001
1,140001676625,7,620,4,8,3,3,922,0,8451687800000000,43587
0,130001612975,6,510,2,7,3,2,257,0,1700000,274
0,130001668898,6,370,4,8,1,3,395,0,200000,393
0,180001601265,6,700,4,8,1,3,922,0,15220000,429
0,250001621440,7,610,2,6,7,1,257,0,3300000,539
0,250001620717,6,650,2,8,1,1,121,0,259950814,9049
0,120001614721,7,580,2,5,3,1,234,0,229355825,4245
0,50001614670,7,500,2,8,3,2,266,0,3303147,1323
1,140001598311,6,620,2,8,3,3,277,1,299182737,205543
0,250001677906,6,560,2,8,3,1,257,0,180000,1158
0,230001600118,6,350,2,8,3,1,403,0,100000,1158
0,210001601862,6,540,2,2,1,2,999,0,4000000,220
0,190001596717,7,620,2,8,9,1,921,0,4503000,6047
0,240001614275,7,550,4,7,3,1,999,0,51977656,919
0,250001602158,7,380,2,8,3,3,278,0,27535509,17891
0,190001714817,6,670,2,8,3,1,125,0,13200000,584
0,260001618226,7,400,2,8,3,1,257,0,68191769,2303
0,70001727456,5,620,2,8,3,3,296,0,12200000,2069
0,20001621222,6,500,4,6,9,3,602,0,3000000,1842
0,110001655609,7,420,2,8,1,3,257,0,45522594,19800
0,50001619929,6,580,2,6,3,1,257,0,97218853,42455
0,240001612515,7,480,2,7,3,3,257,0,2770000,1147
0,70001612584,8,410,2,8,3,2,257,0,5170000,498
0,80001646705,7,530,2,8,3,1,233,0,61789236,5665
0,190001601361,7,580,2,8,1,1,999,0,150000,452
0,140001651024,7,470,2,8,1,3,266,0,69803179,4063
0,160001614847,7,420,2,5,1,1,257,0,300000,316
0,70001636086,8,300,2,8,3,1,131,0,9003692900000000,9956
0,250001721355,7,560,4,6,1,3,176,0,1000000,43
0,140001611650,6,530,2,8,3,3,125,0,2000000,13992
0,250001622087,6,360,2,6,1,1,257,0,8070000,13992
0,80001611207,7,480,2,8,3,3,257,0,1459000,2434
0,250001614921,7,630,2,8,3,1,125,0,326700,1147
