CD_CARGO,SQ_CANDIDATO,NR_IDADE_DATA_POSSE_x,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,ST_REELEICAO_x,VR_BEM_CANDIDATO_x,QT_VOTOS_NOMINAIS_x,DS_SIT_TOT_TURNO
7,220001614400,26.0,2,8,1,1,397,0,10000.0,165,0
6,250001643887,54.0,2,8,1,3,131,0,33174.75,1322,0
6,250001613971,48.0,4,7,9,1,999,0,220000.0,366,0
5,90001614075,60.0,2,8,9,3,277,0,1104283.79,539219,0
6,110001655503,53.0,2,8,3,3,142,0,316095.3,4510,0
7,150001621611,38.0,4,8,1,2,243,0,12000.0,6,0
7,130001671851,74.0,2,8,3,1,111,0,573583.0,14024,0
6,170001724741,47.0,2,8,3,3,131,0,249897.92,1819,0
7,190001596746,42.0,2,6,1,1,277,1,784565.19,52313,1
6,250001611965,27.0,4,6,9,1,257,0,520000.0,806,0
7,60001634399,45.0,2,3,9,3,531,0,5600.0,2788,0
7,50001614710,71.0,2,6,1,3,923,0,678800.0,161,0
6,160001603722,74.0,2,8,3,1,277,1,1465305.48,42321,0
7,160001597805,39.0,2,8,3,1,125,0,767623.0,18213,0
7,260001668323,59.0,2,8,3,1,922,0,62500.0,18523,1
7,50001607301,54.0,4,6,3,1,257,0,353500.0,49944,1
8,70001612583,51.0,2,8,3,2,233,0,350000.0,234,0
7,40001643962,50.0,4,8,1,1,131,0,179075.0,98,0
7,210001620184,39.0,2,8,1,1,234,0,165588.51,5451,0
7,130001603667,52.0,2,8,3,3,233,0,769465.49,5783,0
7,100001607123,55.0,2,6,3,1,537,0,20000.0,6549,0
7,190001613638,58.0,2,7,9,1,169,0,4250.0,840,0
7,250001699830,59.0,4,6,3,1,403,0,35000.0,83,0
6,10001601536,39.0,2,6,1,3,999,0,290000.0,1372,0
8,70001611506,56.0,2,8,3,1,297,1,178755.64,17579,1
6,50001621010,30.0,2,7,1,3,257,0,985000.0,2026,0
7,250001610522,55.0,2,8,3,1,111,0,205224.08,539,0
7,160001621875,46.0,2,7,3,1,999,0,16000.0,10560,0
7,220001596842,40.0,2,6,1,3,207,0,2850.0,188,0
7,190001723105,33.0,2,8,1,1,101,0,220000.0,1527,0
6,60001608892,47.0,2,6,1,3,169,1,565124.91,39203,0
7,20001612384,52.0,2,6,1,3,999,0,85000.0,478,0
6,50001600579,43.0,2,7,3,3,169,0,38000.0,375,0
7,200001604168,34.0,4,6,1,1,999,0,79644.52,4161,0
7,190001649574,60.0,2,8,3,3,111,0,654557.55,135,0
6,60001608850,43.0,4,8,3,1,910,0,1914132.44,29390,0
6,120001613407,60.0,2,8,3,3,297,0,348000.0,7379,0
7,130001615598,48.0,2,7,3,1,257,0,9552209.69,86797,0
7,170001619694,43.0,4,8,1,1,257,0,105271.7,1600,0
7,210001610626,31.0,4,8,1,2,278,0,27275.81,36705,1
6,130001612985,33.0,4,8,9,1,999,0,318000.0,400,0
7,240001647235,46.0,2,8,3,1,257,0,364257.21,1107,0
6,210001613992,45.0,2,6,3,1,278,0,724000.0,12756,0
7,250001605021,52.0,2,8,3,1,257,0,1736940.0,1917,0
7,60001633805,30.0,2,8,1,1,131,0,491008.58,11963,0
6,250001611871,42.0,2,6,3,3,277,1,7220000.0,8931,0
7,250001611746,47.0,2,8,3,1,142,0,489084.83,17361,0
7,270001643541,52.0,2,6,3,3,277,1,2435000.0,31442,1
7,100001620081,48.0,2,6,1,2,257,0,15000.0,125,0
7,60001608829,31.0,2,8,9,3,232,0,8000.0,1009,0
6,210001648566,43.0,2,8,3,3,277,0,793227.11,31089,0
6,130001610894,50.0,4,4,3,3,513,0,20000.0,106,0
6,170001610399,42.0,2,2,1,1,257,0,15000.0,1642,0
6,70001648461,61.0,2,8,3,3,131,0,119482.35,1268,0
6,250001597718,67.0,2,8,3,1,101,0,13854449.0,7873,0
7,250001612266,40.0,2,8,1,1,131,0,1643290.0,38958,0
6,160001621840,55.0,2,4,3,1,402,0,26000.0,3104,0
6,40001719227,63.0,2,8,3,1,142,0,244606.58,1335,0
7,140001615510,30.0,2,6,3,3,257,0,332500.0,5159,0
7,240001679632,70.0,2,8,3,1,923,0,186537.82,9159,0
6,250001602045,58.0,2,8,3,1,297,0,6232034.82,40346,0
6,190001605574,43.0,2,6,5,3,170,0,5000.0,553,0
6,190001596786,53.0,2,8,3,2,277,1,36000.0,132986,1
7,160001615014,52.0,2,8,9,1,131,0,100000.0,1427,0
6,100001608076,56.0,2,8,3,1,111,0,349655.0,5567,0
6,250001643720,45.0,2,8,3,1,131,0,38654.67,6192,0
7,100001599547,64.0,2,8,9,2,403,0,300000.0,52,0
7,250001605040,43.0,4,8,1,1,171,0,180000.0,551,0
6,70001615925,40.0,4,8,3,1,296,0,2133746.05,1130,0
7,140001611060,41.0,2,8,3,1,278,0,31351.13,33546,0
7,250001606277,43.0,2,8,1,1,232,0,276409.37,4423,0
7,170001608980,57.0,2,8,9,3,265,0,81729.76000000001,14932,0
7,160001623072,55.0,4,8,3,1,923,0,2204864.0,847,0
7,210001647970,51.0,4,7,1,1,999,0,2191.0,2202,0
6,50001621024,46.0,2,8,1,3,125,0,30000.0,8365,0
6,80001651996,45.0,2,8,9,1,101,0,830000.0,6842,0
6,240001602980,41.0,2,8,1,1,142,0,81000.0,815,0
7,130001607716,39.0,2,7,3,3,171,0,3000.0,11322,0
7,230001725206,46.0,4,6,1,3,257,0,10000.0,27,0
7,260001600213,34.0,4,8,1,1,277,1,27402.42,15168,0
7,80001602772,60.0,2,8,3,2,143,0,504588.31000000006,13253,0
7,100001613743,54.0,2,8,9,3,999,0,360000.0,5750,0
7,120001609586,42.0,2,8,1,3,999,0,226707.52,760,0
6,210001725342,35.0,2,8,3,1,161,0,247000.0,367,0
7,50001613905,54.0,4,6,1,3,292,0,45000.0,696,0
7,190001612170,66.0,2,8,9,1,923,0,438659.62,6720,0
7,130001606737,61.0,2,6,5,1,234,0,124806.0,224,0
7,240001645227,40.0,4,7,3,1,266,0,265000.0,133,0
8,70001650811,59.0,4,8,3,1,132,0,60000.0,198,0
7,250001611496,67.0,4,8,3,1,131,0,15014.54,36851,0
7,120001613595,65.0,2,8,3,1,101,1,14092614.23,49184,1
8,70001615883,64.0,4,3,3,2,999,0,150000.0,1136,0
6,70001729186,36.0,2,8,1,6,115,0,1360000.0,353,0
7,80001653400,26.0,4,8,1,1,411,0,18000.0,469,0
7,60001603532,32.0,2,8,1,1,131,1,14328.74,51620,0
7,90001651123,57.0,2,8,3,1,101,0,1762833.22,9532,0
7,240001612512,58.0,2,8,1,1,115,0,185915.0,165,0
7,120001643154,78.0,2,8,5,1,131,0,326500.0,585,0
7,100001689562,60.0,4,6,1,3,999,0,230000.0,232,0
6,50001607221,40.0,2,7,3,1,277,0,2450755.1,171684,1
6,170001595452,40.0,4,8,3,3,297,0,312492.97,1656,0
7,210001614125,55.0,4,8,3,2,923,0,130000.0,211,0
7,210001621287,61.0,2,8,3,1,395,0,2068639.25,24946,1
7,40001600305,49.0,2,2,3,1,257,0,2700000.0,2833,0
7,120001643173,46.0,2,8,3,1,111,0,3632200.51,7532,0
7,140001651433,53.0,2,6,3,3,602,0,8774270.93,20865,0
6,250001677906,56.0,2,8,3,1,257,0,18000.0,1158,0
7,250001609968,41.0,2,5,3,2,257,0,1313371.81,2864,0
7,200001618061,41.0,2,8,3,1,257,0,332472.98,5471,0
6,160001654740,44.0,2,6,3,1,531,0,312000.0,137,0
7,160001622225,66.0,4,8,3,1,296,0,837021.3400000001,1297,0
7,40001609200,30.0,2,8,1,3,257,0,687232.59,5237,0
7,50001648295,51.0,2,8,3,1,125,0,1715041.47,5032,0
7,140001611039,41.0,2,8,9,1,277,1,976051.18,35626,1
6,210001604642,39.0,4,8,1,2,278,0,204859.78,44241,1
7,90001614656,33.0,2,4,3,2,257,0,238000.0,348,0
6,250001717125,39.0,2,8,1,1,257,0,30000.0,878,0
6,210001696549,69.0,4,8,5,1,257,0,1950000.0,979,0
6,130001611009,59.0,4,8,1,1,131,0,275000.0,409,0
8,70001621145,30.0,2,8,1,3,131,0,4800.0,278,0
6,130001596010,47.0,2,8,3,3,278,0,1240000.0,20960,0
7,160001615017,43.0,4,8,3,1,266,0,83000.0,1758,0
7,210001601944,37.0,4,6,1,3,999,0,80000.0,329,0
6,190001619229,41.0,2,6,3,1,257,0,1600.0,824,0
7,10001649319,40.0,4,8,1,3,111,0,97573.73,275,0
6,150001620419,45.0,2,8,3,1,257,0,1729974.0,924,0
